EmpId,EmpName,Designation ,DepartMent,CompanyId,CompanyName
43258,Hethan,TechnicalSupport,IT,0,
43259,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43260,Deeksha,BusinessAnalyst,Infrastructures,0,
43261,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43262,Lavanya,NetworkEngineer,HR,0,
43263,Nandini,WebDeveloper,AccountsAndFinance,0,
43264,Hethan,TechnicalSupport,IT,0,
43265,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43266,Deeksha,BusinessAnalyst,Infrastructures,0,
43267,Lavanya,NetworkEngineer,HR,0,
43268,Hethan,TechnicalSupport,IT,0,
43269,Nandini,WebDeveloper,AccountsAndFinance,0,
43270,Hethan,TechnicalSupport,IT,0,
43271,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43272,Lavanya,NetworkEngineer,HR,0,
43273,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43274,Hethan,TechnicalSupport,IT,0,
43275,Nandini,WebDeveloper,AccountsAndFinance,0,
43276,Hethan,TechnicalSupport,IT,0,
43277,Lavanya,NetworkEngineer,HR,0,
43278,Deeksha,BusinessAnalyst,Infrastructures,0,
43279,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43280,Hethan,TechnicalSupport,IT,0,
43281,Nandini,WebDeveloper,AccountsAndFinance,0,
43282,Lavanya,NetworkEngineer,HR,0,
43283,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43284,Deeksha,BusinessAnalyst,Infrastructures,0,
43285,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43286,Hethan,TechnicalSupport,IT,0,
43287,Nandini,WebDeveloper,AccountsAndFinance,0,
43288,Hethan,TechnicalSupport,IT,0,
43289,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43290,Deeksha,BusinessAnalyst,Infrastructures,0,
43291,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43292,Lavanya,NetworkEngineer,HR,0,
43293,Nandini,WebDeveloper,AccountsAndFinance,0,
43294,Hethan,TechnicalSupport,IT,0,
43295,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43296,Deeksha,BusinessAnalyst,Infrastructures,0,
43297,Lavanya,NetworkEngineer,HR,0,
43298,Hethan,TechnicalSupport,IT,0,
43299,Nandini,WebDeveloper,AccountsAndFinance,0,
43300,Hethan,TechnicalSupport,IT,0,
43301,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43302,Lavanya,NetworkEngineer,HR,0,
43303,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43304,Hethan,TechnicalSupport,IT,0,
43305,Nandini,WebDeveloper,AccountsAndFinance,0,
43306,Hethan,TechnicalSupport,IT,0,
43307,Lavanya,NetworkEngineer,HR,0,
43308,Deeksha,BusinessAnalyst,Infrastructures,0,
43309,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43310,Hethan,TechnicalSupport,IT,0,
43311,Nandini,WebDeveloper,AccountsAndFinance,0,
43312,Lavanya,NetworkEngineer,HR,0,
43313,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43314,Deeksha,BusinessAnalyst,Infrastructures,0,
43315,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43316,Hethan,TechnicalSupport,IT,0,
43317,Nandini,WebDeveloper,AccountsAndFinance,0,
43318,Hethan,TechnicalSupport,IT,0,
43319,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43320,Deeksha,BusinessAnalyst,Infrastructures,0,
43321,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43322,Lavanya,NetworkEngineer,HR,0,
43323,Nandini,WebDeveloper,AccountsAndFinance,0,
43324,Hethan,TechnicalSupport,IT,0,
43325,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43326,Deeksha,BusinessAnalyst,Infrastructures,0,
43327,Lavanya,NetworkEngineer,HR,0,
43328,Hethan,TechnicalSupport,IT,0,
43329,Nandini,WebDeveloper,AccountsAndFinance,0,
43330,Hethan,TechnicalSupport,IT,0,
43331,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43332,Lavanya,NetworkEngineer,HR,0,
43333,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43334,Hethan,TechnicalSupport,IT,0,
43335,Nandini,WebDeveloper,AccountsAndFinance,0,
43336,Hethan,TechnicalSupport,IT,0,
43337,Lavanya,NetworkEngineer,HR,0,
43338,Deeksha,BusinessAnalyst,Infrastructures,0,
43339,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43340,Hethan,TechnicalSupport,IT,0,
43341,Nandini,WebDeveloper,AccountsAndFinance,0,
43342,Lavanya,NetworkEngineer,HR,0,
43343,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43344,Deeksha,BusinessAnalyst,Infrastructures,0,
43345,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43346,Hethan,TechnicalSupport,IT,0,
43347,Nandini,WebDeveloper,AccountsAndFinance,0,
43348,Hethan,TechnicalSupport,IT,0,
43349,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43350,Deeksha,BusinessAnalyst,Infrastructures,0,
43351,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43352,Lavanya,NetworkEngineer,HR,0,
43353,Nandini,WebDeveloper,AccountsAndFinance,0,
43354,Hethan,TechnicalSupport,IT,0,
43355,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43356,Deeksha,BusinessAnalyst,Infrastructures,0,
43357,Lavanya,NetworkEngineer,HR,0,
43358,Hethan,TechnicalSupport,IT,0,
43359,Nandini,WebDeveloper,AccountsAndFinance,0,
43360,Hethan,TechnicalSupport,IT,0,
43361,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43362,Lavanya,NetworkEngineer,HR,0,
43363,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43364,Hethan,TechnicalSupport,IT,0,
43365,Nandini,WebDeveloper,AccountsAndFinance,0,
43366,Hethan,TechnicalSupport,IT,0,
43367,Lavanya,NetworkEngineer,HR,0,
43368,Deeksha,BusinessAnalyst,Infrastructures,0,
43369,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43370,Hethan,TechnicalSupport,IT,0,
43371,Nandini,WebDeveloper,AccountsAndFinance,0,
43372,Lavanya,NetworkEngineer,HR,0,
43373,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43374,Deeksha,BusinessAnalyst,Infrastructures,0,
43375,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43376,Hethan,TechnicalSupport,IT,0,
43377,Nandini,WebDeveloper,AccountsAndFinance,0,
43378,Hethan,TechnicalSupport,IT,0,
43379,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43380,Deeksha,BusinessAnalyst,Infrastructures,0,
43381,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43382,Lavanya,NetworkEngineer,HR,0,
43383,Nandini,WebDeveloper,AccountsAndFinance,0,
43384,Hethan,TechnicalSupport,IT,0,
43385,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43386,Deeksha,BusinessAnalyst,Infrastructures,0,
43387,Lavanya,NetworkEngineer,HR,0,
43388,Hethan,TechnicalSupport,IT,0,
43389,Nandini,WebDeveloper,AccountsAndFinance,0,
43390,Hethan,TechnicalSupport,IT,0,
43391,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43392,Lavanya,NetworkEngineer,HR,0,
43393,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43394,Hethan,TechnicalSupport,IT,0,
43395,Nandini,WebDeveloper,AccountsAndFinance,0,
43396,Hethan,TechnicalSupport,IT,0,
43397,Lavanya,NetworkEngineer,HR,0,
43398,Deeksha,BusinessAnalyst,Infrastructures,0,
43399,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43400,Hethan,TechnicalSupport,IT,0,
43401,Nandini,WebDeveloper,AccountsAndFinance,0,
43402,Lavanya,NetworkEngineer,HR,0,
43403,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43404,Deeksha,BusinessAnalyst,Infrastructures,0,
43405,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43406,Hethan,TechnicalSupport,IT,0,
43407,Nandini,WebDeveloper,AccountsAndFinance,0,
43408,Hethan,TechnicalSupport,IT,0,
43409,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43410,Deeksha,BusinessAnalyst,Infrastructures,0,
43411,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43412,Lavanya,NetworkEngineer,HR,0,
43413,Nandini,WebDeveloper,AccountsAndFinance,0,
43414,Hethan,TechnicalSupport,IT,0,
43415,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43416,Deeksha,BusinessAnalyst,Infrastructures,0,
43417,Lavanya,NetworkEngineer,HR,0,
43418,Hethan,TechnicalSupport,IT,0,
43419,Nandini,WebDeveloper,AccountsAndFinance,0,
43420,Hethan,TechnicalSupport,IT,0,
43421,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43422,Lavanya,NetworkEngineer,HR,0,
43423,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43424,Hethan,TechnicalSupport,IT,0,
43425,Nandini,WebDeveloper,AccountsAndFinance,0,
43426,Hethan,TechnicalSupport,IT,0,
43427,Lavanya,NetworkEngineer,HR,0,
43428,Deeksha,BusinessAnalyst,Infrastructures,0,
43429,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43430,Hethan,TechnicalSupport,IT,0,
43431,Nandini,WebDeveloper,AccountsAndFinance,0,
43432,Lavanya,NetworkEngineer,HR,0,
43433,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43434,Deeksha,BusinessAnalyst,Infrastructures,0,
43435,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43436,Hethan,TechnicalSupport,IT,0,
43437,Nandini,WebDeveloper,AccountsAndFinance,0,
43438,Hethan,TechnicalSupport,IT,0,
43439,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43440,Deeksha,BusinessAnalyst,Infrastructures,0,
43441,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43442,Lavanya,NetworkEngineer,HR,0,
43443,Nandini,WebDeveloper,AccountsAndFinance,0,
43444,Hethan,TechnicalSupport,IT,0,
43445,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43446,Deeksha,BusinessAnalyst,Infrastructures,0,
43447,Lavanya,NetworkEngineer,HR,0,
43448,Hethan,TechnicalSupport,IT,0,
43449,Nandini,WebDeveloper,AccountsAndFinance,0,
43450,Hethan,TechnicalSupport,IT,0,
43451,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43452,Lavanya,NetworkEngineer,HR,0,
43453,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43454,Hethan,TechnicalSupport,IT,0,
43455,Nandini,WebDeveloper,AccountsAndFinance,0,
43456,Hethan,TechnicalSupport,IT,0,
43457,Hethan,TechnicalSupport,IT,0,
43458,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43459,Deeksha,BusinessAnalyst,Infrastructures,0,
43460,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43461,Lavanya,NetworkEngineer,HR,0,
43462,Nandini,WebDeveloper,AccountsAndFinance,0,
43463,Hethan,TechnicalSupport,IT,0,
43464,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43465,Deeksha,BusinessAnalyst,Infrastructures,0,
43466,Lavanya,NetworkEngineer,HR,0,
43467,Hethan,TechnicalSupport,IT,0,
43468,Nandini,WebDeveloper,AccountsAndFinance,0,
43469,Hethan,TechnicalSupport,IT,0,
43470,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43471,Lavanya,NetworkEngineer,HR,0,
43472,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43473,Hethan,TechnicalSupport,IT,0,
43474,Nandini,WebDeveloper,AccountsAndFinance,0,
43475,Hethan,TechnicalSupport,IT,0,
43476,Lavanya,NetworkEngineer,HR,0,
43477,Deeksha,BusinessAnalyst,Infrastructures,0,
43478,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43479,Hethan,TechnicalSupport,IT,0,
43480,Nandini,WebDeveloper,AccountsAndFinance,0,
43481,Lavanya,NetworkEngineer,HR,0,
43482,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43483,Deeksha,BusinessAnalyst,Infrastructures,0,
43484,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43485,Hethan,TechnicalSupport,IT,0,
43486,Nandini,WebDeveloper,AccountsAndFinance,0,
43487,Hethan,TechnicalSupport,IT,0,
43488,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43489,Deeksha,BusinessAnalyst,Infrastructures,0,
43490,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43491,Lavanya,NetworkEngineer,HR,0,
43492,Nandini,WebDeveloper,AccountsAndFinance,0,
43493,Hethan,TechnicalSupport,IT,0,
43494,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43495,Deeksha,BusinessAnalyst,Infrastructures,0,
43496,Lavanya,NetworkEngineer,HR,0,
43497,Hethan,TechnicalSupport,IT,0,
43498,Nandini,WebDeveloper,AccountsAndFinance,0,
43499,Hethan,TechnicalSupport,IT,0,
43500,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43501,Lavanya,NetworkEngineer,HR,0,
43502,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43503,Hethan,TechnicalSupport,IT,0,
43504,Nandini,WebDeveloper,AccountsAndFinance,0,
43505,Hethan,TechnicalSupport,IT,0,
43506,Lavanya,NetworkEngineer,HR,0,
43507,Deeksha,BusinessAnalyst,Infrastructures,0,
43508,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43509,Hethan,TechnicalSupport,IT,0,
43510,Nandini,WebDeveloper,AccountsAndFinance,0,
43511,Lavanya,NetworkEngineer,HR,0,
43512,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43513,Deeksha,BusinessAnalyst,Infrastructures,0,
43514,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43515,Hethan,TechnicalSupport,IT,0,
43516,Nandini,WebDeveloper,AccountsAndFinance,0,
43517,Hethan,TechnicalSupport,IT,0,
43518,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43519,Deeksha,BusinessAnalyst,Infrastructures,0,
43520,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43521,Lavanya,NetworkEngineer,HR,0,
43522,Nandini,WebDeveloper,AccountsAndFinance,0,
43523,Hethan,TechnicalSupport,IT,0,
43524,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43525,Deeksha,BusinessAnalyst,Infrastructures,0,
43526,Lavanya,NetworkEngineer,HR,0,
43527,Hethan,TechnicalSupport,IT,0,
43528,Nandini,WebDeveloper,AccountsAndFinance,0,
43529,Hethan,TechnicalSupport,IT,0,
43530,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43531,Lavanya,NetworkEngineer,HR,0,
43532,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43533,Hethan,TechnicalSupport,IT,0,
43534,Nandini,WebDeveloper,AccountsAndFinance,0,
43535,Hethan,TechnicalSupport,IT,0,
43536,Lavanya,NetworkEngineer,HR,0,
43537,Deeksha,BusinessAnalyst,Infrastructures,0,
43538,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43539,Hethan,TechnicalSupport,IT,0,
43540,Nandini,WebDeveloper,AccountsAndFinance,0,
43541,Lavanya,NetworkEngineer,HR,0,
43542,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43543,Deeksha,BusinessAnalyst,Infrastructures,0,
43544,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43545,Hethan,TechnicalSupport,IT,0,
43546,Nandini,WebDeveloper,AccountsAndFinance,0,
43547,Hethan,TechnicalSupport,IT,0,
43548,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43549,Deeksha,BusinessAnalyst,Infrastructures,0,
43550,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43551,Lavanya,NetworkEngineer,HR,0,
43552,Nandini,WebDeveloper,AccountsAndFinance,0,
43553,Hethan,TechnicalSupport,IT,0,
43554,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43555,Deeksha,BusinessAnalyst,Infrastructures,0,
43556,Lavanya,NetworkEngineer,HR,0,
43557,Hethan,TechnicalSupport,IT,0,
43558,Nandini,WebDeveloper,AccountsAndFinance,0,
43559,Hethan,TechnicalSupport,IT,0,
43560,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43561,Lavanya,NetworkEngineer,HR,0,
43562,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43563,Hethan,TechnicalSupport,IT,0,
43564,Nandini,WebDeveloper,AccountsAndFinance,0,
43565,Hethan,TechnicalSupport,IT,0,
43566,Lavanya,NetworkEngineer,HR,0,
43567,Deeksha,BusinessAnalyst,Infrastructures,0,
43568,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43569,Hethan,TechnicalSupport,IT,0,
43570,Nandini,WebDeveloper,AccountsAndFinance,0,
43571,Lavanya,NetworkEngineer,HR,0,
43572,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43573,Deeksha,BusinessAnalyst,Infrastructures,0,
43574,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43575,Hethan,TechnicalSupport,IT,0,
43576,Nandini,WebDeveloper,AccountsAndFinance,0,
43577,Hethan,TechnicalSupport,IT,0,
43578,Ram mohan Reddy,SystemsAnalyst,ResearchAndDevelopment,0,
43579,Deeksha,BusinessAnalyst,Infrastructures,0,
43580,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43581,Lavanya,NetworkEngineer,HR,0,
43582,Nandini,WebDeveloper,AccountsAndFinance,0,
43583,Hethan,TechnicalSupport,IT,0,
43584,Manisha,SoftwareEngineer,SalesAndMarketing ,0,
43585,Deeksha,BusinessAnalyst,Infrastructures,0,
43586,Lavanya,NetworkEngineer,HR,0,
43587,Hethan,TechnicalSupport,IT,0,
